RMS,MAV,VAR,ZC,SSC,Label
0.0956381265285952,0.075622274060642,0.0091466512458996,50.0,50.0,0.0
0.095200777031452,0.0749813501814864,0.0090631879473922,51.0,50.0,0.0
0.0949431906636537,0.0746582438353608,0.0090142094533949,50.0,50.0,0.0
0.0949379653706141,0.0744704593003752,0.0090132172687119,50.0,49.0,0.0
0.0957158603841167,0.075351187875839,0.0091615259290717,49.0,49.0,0.0
0.0963515461573929,0.0761411697358951,0.0092836204469202,49.0,49.0,0.0
0.0961878891676382,0.0760703955055609,0.0092521100225258,49.0,50.0,0.0
0.0958640710020433,0.0756985080064827,0.0091899201090848,50.0,50.0,0.0
0.0955723309760376,0.0753743916785718,0.0091340704481932,50.0,51.0,0.0
0.0958477931838994,0.0759110192638727,0.0091867994582235,49.0,49.0,0.0
0.095616867687435,0.0754149062635517,0.0091425853863564,49.0,50.0,0.0
0.0958751951928865,0.0756283335776246,0.009192053053274,50.0,50.0,0.0
0.0961018655964364,0.0758844417703281,0.0092355685711155,50.0,50.0,0.0
0.0961137272892872,0.0759808754377542,0.0092378485734394,49.0,50.0,0.0
0.0959956352943765,0.0756610999796245,0.0092151619955709,50.0,49.0,0.0
0.0966576912515465,0.0765774885917886,0.0093427092780793,49.0,49.0,0.0
0.0976986462416272,0.0776018436029906,0.0095450254774466,49.0,49.0,0.0
0.0971267567240466,0.0773005124367303,0.0094336068717321,49.0,50.0,0.0
0.0960935659070692,0.0764259837089295,0.0092339734087362,50.0,52.0,0.0
0.0952691280360686,0.0755416368912427,0.0090762067567528,50.0,53.0,0.0
0.0951888907505133,0.0756476482314236,0.0090609249223131,49.0,51.0,0.0
0.0950251401134641,0.0753665839189737,0.0090297772535834,50.0,52.0,0.0
0.0955490592972504,0.075581784527134,0.0091296227325894,50.0,51.0,0.0
0.0959905223715872,0.0762660256539947,0.0092141803851701,49.0,52.0,0.0
0.0960223173458179,0.0764203535376266,0.0092202854284609,49.0,52.0,0.0
0.0954802541985131,0.0756789794253042,0.0091164789418126,50.0,51.0,0.0
0.0953700794152955,0.0755174755690946,0.0090954520476797,49.0,53.0,0.0
0.0961297248103959,0.0763580403482229,0.0092409239921224,49.0,53.0,0.0
0.095903101690043,0.0763250377149878,0.0091974049137707,49.0,52.0,0.0
0.0955773473224335,0.0759068383905537,0.009135029321193,50.0,52.0,0.0
0.0951456756238005,0.0752704013644822,0.0090526995899094,51.0,52.0,0.0
0.0948747967426856,0.0750196019756593,0.0090012270569659,50.0,52.0,0.0
0.0948614262059648,0.074793819466804,0.0089986901818297,50.0,51.0,0.0
0.0954519412172662,0.075550252052635,0.0091110730821444,49.0,51.0,0.0
0.0959197564866051,0.0762478765201229,0.0092005996844496,49.0,51.0,0.0
0.0956706011739824,0.076065028493968,0.0091528639289912,49.0,52.0,0.0
0.0952364440918101,0.0756600809686676,0.0090699802832524,50.0,52.0,0.0
0.09480186562313,0.075314553196345,0.008987393725626,49.0,51.0,0.0
0.094961246938576,0.0757116241316982,0.0090176384201292,49.0,51.0,0.0
0.0945457284303698,0.0748539335169545,0.0089388947644292,49.0,52.0,0.0
0.0947344529579867,0.0749006977927811,0.008974616577249,50.0,52.0,0.0
0.0949123770307464,0.0748599914460365,0.0090083593136265,50.0,50.0,0.0
0.0948804613767086,0.0748982513251009,0.0090023019510571,49.0,50.0,0.0
0.0948427403815077,0.0747500411989621,0.008995145403074,50.0,49.0,0.0
0.0955877230228197,0.0757340851329157,0.0091370127926873,49.0,51.0,0.0
0.0967431508025744,0.0767770060781369,0.0093592372272096,49.0,51.0,0.0
0.0962232034341007,0.0764052997552761,0.0092589048791203,49.0,50.0,0.0
0.0952046717526044,0.0755801149308585,0.0090639295235211,50.0,50.0,0.0
0.0944229396759119,0.0747030229538099,0.0089156915370409,50.0,51.0,0.0
0.094328153958859,0.074746768563052,0.0088978006292862,49.0,49.0,0.0
0.0941611152785054,0.0745227249936756,0.0088663156304919,50.0,50.0,0.0
0.0948200632229352,0.0748018433419311,0.0089908443896014,50.0,49.0,0.0
0.0954123284920232,0.0756224321074706,0.0091035124282697,49.0,50.0,0.0
0.0954674885557852,0.0758339439442068,0.0091140413711489,49.0,50.0,0.0
0.0948669930859982,0.0750296269396261,0.0089997463771788,49.0,49.0,0.0
0.0946829132760647,0.0748769842515864,0.0089648540664427,49.0,51.0,0.0
0.0954359683445612,0.0756934389852649,0.009108024053864,49.0,51.0,0.0
0.0951621718207949,0.0755598840341824,0.0090558389456504,49.0,50.0,0.0
0.0948260884204825,0.0750925586896603,0.0089919870451291,50.0,50.0,0.0
0.0943727899206384,0.0744038275586267,0.0089062234774049,51.0,50.0,0.0
0.0941337543056778,0.0742041137508134,0.0088611636996817,50.0,50.0,0.0
0.0940772354577429,0.0738781292854763,0.0088505262313716,50.0,49.0,0.0
0.0945576450996624,0.0745430059228841,0.0089411482467937,49.0,49.0,0.0
0.0950675946651838,0.0752736895520029,0.0090378475554237,49.0,49.0,0.0
0.0948923470690382,0.0751995619422291,0.0090045575322708,49.0,50.0,0.0
0.0945349733749588,0.0748467340020092,0.0089368611910041,50.0,50.0,0.0
0.0941052047492314,0.074244941461195,0.0088557895608947,50.0,52.0,0.0
0.0941264237675583,0.0744264657088962,0.0088597836512699,49.0,53.0,0.0
0.0939041202464315,0.0739144462480644,0.0088179837992562,50.0,52.0,0.0
0.0943870391529563,0.0742620426771167,0.0089089131600617,50.0,52.0,0.0
0.0947454466775584,0.0746262331860061,0.00897669966613,50.0,52.0,0.0
0.0947616374711189,0.0747295332766193,0.0089797679362077,49.0,52.0,0.0
0.0946492411024586,0.0744665851228654,0.0089584788412713,50.0,51.0,0.0
0.095223515181424,0.0753318301813899,0.0090675178435068,49.0,51.0,0.0
0.0962432977476612,0.0763244942978427,0.0092627723613449,49.0,51.0,0.0
0.09563514160008,0.0759642822601157,0.0091460803088673,49.0,52.0,0.0
0.0945842178315787,0.0750633604618703,0.0089461742628115,50.0,52.0,0.0
0.0937337264621713,0.0741298012515422,0.0087860114764851,50.0,53.0,0.0
0.0935579947668111,0.0740125444106148,0.0087530983847866,49.0,52.0,0.0
0.0934350120399005,0.0738932335358513,0.0087301014748963,50.0,52.0,0.0
0.0941480964918702,0.0742618064929352,0.0088638640730425,50.0,51.0,0.0
0.0947763220838761,0.0751073219715979,0.0089825512277466,49.0,52.0,0.0
0.0948339563584781,0.0753011279269785,0.0089934792786017,49.0,52.0,0.0
0.0942238211390803,0.0745115418077279,0.0088781284700494,49.0,51.0,0.0
0.0939764373676197,0.0741994118939089,0.0088315707803101,49.0,53.0,0.0
0.0945825677974455,0.074920573075205,0.0089458621311583,49.0,53.0,0.0
0.0942994490276285,0.0747586796050896,0.0088923860869143,49.0,52.0,0.0
0.0940796917497638,0.0745182031542425,0.0088509883997305,50.0,52.0,0.0
0.0936674834391737,0.0739033683867008,0.0087735974538278,50.0,52.0,0.0
0.0934407674396413,0.0737087563830839,0.0087311770197091,50.0,52.0,0.0
0.0934003450324165,0.0734226137486516,0.0087236244521744,50.0,51.0,0.0
0.0940503742470747,0.0741962186775646,0.0088454728960148,49.0,51.0,0.0
0.0948141065002348,0.0750469001951945,0.0089897147914378,49.0,51.0,0.0
0.0947250994985682,0.0751181909562205,0.0089728444750136,49.0,52.0,0.0
0.0944224989623686,0.0747413604775981,0.0089156083102985,50.0,52.0,0.0
0.0940442384716944,0.0740802878197769,0.0088443187897209,50.0,54.0,0.0
0.0940260577728095,0.0741847243029736,0.0088408995402957,49.0,55.0,0.0
0.0938713511608326,0.0738030569022158,0.0088118305687603,50.0,54.0,0.0
0.0942949235369142,0.0740682199357903,0.0088915326048324,50.0,54.0,0.0
0.0946164077419094,0.0745130842608089,0.0089522646139832,49.0,54.0,0.0
0.0946261978582831,0.0745979929777163,0.0089541173211149,49.0,54.0,0.0
0.0945413427369493,0.0743628230763127,0.0089380654865053,50.0,53.0,0.0
0.0951354025218352,0.0752227489526099,0.0090507448129916,49.0,53.0,0.0
0.0960740670105308,0.076205378376462,0.0092302263519439,49.0,53.0,0.0
0.095496061665158,0.0758670437533812,0.0091194977935556,49.0,54.0,0.0
